NOM_OPERATEUR,PUISSANCE_NOMINALE,NB_PRISES
Allego,22,2596
Allego,300,884
Allego,50,556
Allego,150,492
Allego,43,404
Allego,0,360
Allego,350,160
Allego,160,84
Allego,100,76
Allego,200,48
Allego,120,32
arteco44,22,1
Atlante | FR*ATL,150,16
Atlante France,22,44
Atlante France,300,27
Atlante France,150,21
AUTORECHARGE,22,9
AUTORECHARGE SAS,240,96
AUTORECHARGE SAS,400,96
AUTORECHARGE SAS,280,48
AUTORECHARGE SAS,22,3
Avia Picoty | FR*PY2,22,34
Avia Picoty | FR*PY2,180,20
Avia Picoty | FR*PY2,360,14
Avia Picoty | FR*PY2,125,12
Avia Picoty | FR*PY2,400,8
Avia Picoty | FR*PY2,47,2
Borneco | FR*BHM,22,27
Borneco | FR*BHM,7,2
Borneco | FR*BHM,11,1
Bornevo Connect,22,2
Bouygues Energies & Services,22,2034
Bouygues Energies & Services,7,1034
Bouygues Energies & Services,50,300
Bouygues Energies & Services,42,220
Bouygues Energies & Services,3,192
Bouygues Energies & Services,43,56
Bouygues Energies & Services,24,46
Bouygues Energies & Services,11,36
Bouygues Energies & Services,150,28
Bouygues Energies & Services,180,24
Bouygues Energies & Services,30,12
Bouygues Energies & Services,6,8
Bouygues Energies & Services,36,8
Bouygues Energies & Services,25,4
Bouygues Energies & Services,100,4
BOUYGUES ENERGIES SERVICES,50,3
BOUYGUES ENERGIES SERVICES,18,2
bp Pulse,500,38
bp Pulse,32,38
bp Pulse,100,25
bp Pulse,300,25
Bump,150,36
Bump,22,23
Bump,90,3
CAR2PLUG,22,2
Charge Unix | FR*0CU,22,10
ChargeGuru,200,8
ChargeGuru,22,5
ChargeGuru,100,4
ChargePoint Austria GmbH | FR*CG0,22,116
ChargePoint Austria GmbH | FR*CG0,2,53
ChargePoint Austria GmbH | FR*CG0,50,25
ChargePoint Austria GmbH | FR*CG0,150,18
ChargePoint Austria GmbH | FR*CG0,11,8
ChargePoint Austria GmbH | FR*CG0,7,7
ChargePoint Austria GmbH | FR*CG0,200,2
C4Energies,22,6
C4Energies,150,3
C4Energies,60,3
C4Energies,120,2
DREAM ENERGY,200,12
DREAM ENERGY,22,12
DREAM ENERGY,90,8
DRIVECO,22,56
DRIVECO,50,56
DRIVECO,150,8
DRIVECO Partner Network,22,391
DRIVECO Partner Network,50,106
DRIVECO Partner Network,200,38
DRIVECO Partner Network,7,22
DRIVECO Partner Network,24,18
DRIVECO Partner Network,11,12
EASYCHARGE,22,235
EASYCHARGE,3,112
EASYCHARGE,60,72
EASYCHARGE,90,45
EASYCHARGE,120,42
e-charge50,22,32
e-charge50,30,11
e-charge50,120,8
e-charge50,60,3
Eiffage Energie Systèmes | FR*WGO,22,121
E.Leclerc | FR*LE2,22,262
E.Leclerc | FR*LE2,7,28
E.Leclerc | FR*LE2,100,28
E.Leclerc | FR*LE2,3,20
E.Leclerc | FR*LE2,11,14
E.Leclerc | FR*LE2,90,10
E.Leclerc | FR*LE2,50,9
E.Leclerc | FR*LE2,43,4
Electra,22,122
Electra,300,81
Electra,225,21
Electra,150,21
Electra,400,20
Electra,50,20
Electra,100,16
Electra,200,5
ENERGIE Eure-et-Loir,18,2
ENGIE Vianeo,300,130
ENGIE Vianeo,22,124
ENGIE Vianeo,62,12
Eoliberty,22,2
Eoliberty,7,2
E-TOTEM,22,74
E-TOTEM,7,42
E-TOTEM,100,21
E-TOTEM,150,21
E-TOTEM,180,5
E-Totem,22,126
E-Totem,2,70
E-Totem,100,36
E-Totem,150,30
E-Totem,180,21
E-Totem,3,5
EV MAP,20,1
EVBOX,22,1
Evbox,11,1
Evota Netherlands B.V. | FR*AUT,22,32
EVzen,22,23
