NOM_OPERATEUR,DEPARTEMENT,NB_PRISES
Bouygues Energies & Services,Loire-Atlantique,598
SPIE CITYNETWORKS,Loire-Atlantique,422
Allego,Loire-Atlantique,376
IZIVIA,Loire-Atlantique,279
Freshmile | FR*FR1,Loire-Atlantique,196
Power Dot France,Loire-Atlantique,144
DRIVECO Partner Network,Loire-Atlantique,85
SOREGIES MOBILITES,Loire-Atlantique,80
EASYCHARGE,Loire-Atlantique,66
LIDL France,Loire-Atlantique,63
Izivia,Loire-Atlantique,44
TotalEnergies Charging Services,Loire-Atlantique,42
ChargePoint Austria GmbH | FR*CG0,Loire-Atlantique,42
E-Totem,Loire-Atlantique,38
E-TOTEM,Loire-Atlantique,32
Lidl France,Loire-Atlantique,32
Load Stations,Loire-Atlantique,29
Road | FR*EFL,Loire-Atlantique,26
TotalEnergies Marketing France,Loire-Atlantique,24
Electra,Loire-Atlantique,23
Ze-Watt,Loire-Atlantique,18
R3,Loire-Atlantique,18
STATIONS-E,Loire-Atlantique,16
Soregies,Loire-Atlantique,15
E.Leclerc | FR*LE2,Loire-Atlantique,14
NW IECharge,Loire-Atlantique,14
Freshmile,Loire-Atlantique,13
Tesla,Loire-Atlantique,12
ENGIE Vianeo,Loire-Atlantique,12
Mobilize Power Solutions,Loire-Atlantique,12
QOVOLTIS,Loire-Atlantique,11
Ionity,Loire-Atlantique,10
Virta,Loire-Atlantique,10
Fuzed | FR*FZD,Loire-Atlantique,10
ChargeGuru,Loire-Atlantique,9
RossiniEnergy,Loire-Atlantique,8
WAAT Umbrella-Copro,Loire-Atlantique,8
Zephyre SAS,Loire-Atlantique,7
AUTORECHARGE,Loire-Atlantique,6
Greenspot,Loire-Atlantique,6
SEOLIS,Loire-Atlantique,6
QoWatt,Loire-Atlantique,6
Evota Netherlands B.V. | FR*AUT,Loire-Atlantique,6
e-charge50,Loire-Atlantique,6
Borneco | FR*BHM,Loire-Atlantique,6
WAAT SAS | FR*WA2,Loire-Atlantique,5
ZEENCO e-mobility,Loire-Atlantique,5
DRIVECO,Loire-Atlantique,5
YES55 | FR*Y55,Loire-Atlantique,5
Mobilize Fast Charge Network FRANCE,Loire-Atlantique,4
Zephyre | FR*ZP1,Loire-Atlantique,3
Freshmile SAS,Loire-Atlantique,3
TESLA France SARL,Loire-Atlantique,3
Sorel Energies,Loire-Atlantique,2
EVzen,Loire-Atlantique,2
Mobilygreen CPO,Loire-Atlantique,2
Porsche Sales & Marketplace,Loire-Atlantique,2
